order_id,customer_id,product_id,order_date,quantity,sales
1,84,8,2024-07-02,3,1062
2,96,56,2024-05-05,2,1224
3,136,53,2024-12-15,5,2375
4,47,22,2024-02-10,2,2390
5,157,49,2024-12-15,5,2525
6,62,64,2024-03-14,5,4320
7,60,60,2024-08-23,3,3429
8,66,86,2024-08-26,1,854
9,74,87,2024-03-21,5,840
10,19,57,2024-10-27,3,1722
11,77,82,2024-12-19,4,2776
12,65,59,2024-04-11,3,1542
13,99,62,2024-05-01,1,1055
14,98,74,2024-10-21,3,1203
15,76,90,2024-01-12,3,2061
16,169,51,2024-01-05,3,129
17,145,88,2024-11-06,1,557
18,191,64,2024-04-27,3,2592
19,156,46,2024-11-21,2,566
20,49,80,2024-12-13,3,3087
21,194,93,2024-11-17,2,176
22,25,81,2024-06-07,1,273
23,113,5,2024-07-05,5,2375
24,188,17,2024-05-31,1,675
25,84,96,2024-03-30,4,800
26,52,17,2024-07-06,5,3375
27,136,65,2024-03-25,3,3162
28,66,62,2024-06-22,3,3165
29,30,60,2024-03-13,1,1143
30,194,29,2024-10-12,4,2788
31,94,12,2024-01-08,4,3356
32,68,69,2024-08-20,1,929
33,95,87,2024-10-26,3,504
34,98,82,2024-02-25,3,2082
35,173,30,2024-01-13,4,916
36,159,72,2024-11-08,3,3381
37,57,83,2024-11-21,1,916
38,119,90,2024-11-28,3,2061
39,105,15,2024-01-24,2,358
40,10,39,2024-02-29,4,4504
41,25,31,2024-03-10,5,3450
42,100,59,2024-12-09,3,1542
43,191,90,2024-08-02,5,3435
44,151,96,2024-07-31,2,400
45,168,13,2024-11-11,4,4156
46,105,36,2024-12-19,1,531
47,95,28,2024-08-15,4,2908
48,61,47,2024-12-17,1,912
49,95,70,2024-02-01,3,3018
50,102,36,2024-03-03,2,1062
51,117,12,2024-11-24,2,1678
52,164,77,2024-01-26,1,104
53,86,32,2024-10-16,2,2058
54,53,9,2024-04-16,5,5900
55,151,28,2024-06-17,2,1454
56,199,19,2024-01-02,5,1010
57,71,19,2024-10-03,2,404
58,65,23,2024-12-04,1,373
59,7,17,2024-07-02,1,675
60,61,76,2024-01-09,3,1479
61,45,34,2024-03-05,1,90
62,190,54,2024-02-28,5,4800
63,191,9,2024-08-17,4,4720
64,200,47,2024-10-30,5,4560
65,28,58,2024-04-23,5,5015
66,158,6,2024-06-03,5,2795
67,118,83,2024-02-01,1,916
68,123,52,2024-12-17,4,3400
69,28,63,2024-02-07,4,628
70,21,42,2024-03-16,5,3775
71,17,17,2024-11-15,3,2025
72,163,75,2024-12-30,5,5930
73,84,49,2024-09-28,5,2525
74,76,59,2024-11-05,5,2570
75,111,13,2024-12-01,1,1039
76,167,99,2024-04-20,5,3140
77,111,58,2024-07-30,2,2006
78,87,59,2024-07-31,4,2056
79,187,13,2024-08-06,3,3117
80,81,86,2024-07-10,3,2562
81,40,88,2024-02-04,4,2228
82,24,11,2024-08-09,1,974
83,25,96,2024-03-07,3,600
84,143,8,2024-10-14,5,1770
85,144,43,2024-07-29,1,1035
86,91,86,2024-01-27,4,3416
87,74,77,2024-06-29,3,312
88,27,74,2024-04-18,5,2005
89,40,85,2024-04-24,4,184
90,28,45,2024-07-07,5,2805
91,30,98,2024-10-20,3,2769
92,58,55,2024-11-14,5,1650
93,158,87,2024-01-14,5,840
94,156,85,2024-01-15,3,138
95,47,35,2024-06-22,3,585
96,90,1,2024-03-14,2,320
97,145,85,2024-02-05,4,184
98,37,95,2024-02-16,1,603
99,192,68,2024-07-11,2,2034
100,108,59,2024-03-21,3,1542
101,95,40,2024-10-17,3,2583
102,153,11,2024-03-20,1,974
103,41,97,2024-01-26,5,1080
104,173,11,2024-08-14,3,2922
105,170,55,2024-11-06,4,1320
106,114,54,2024-04-20,3,2880
107,194,66,2024-06-25,1,20
108,111,15,2024-12-13,3,537
109,174,76,2024-09-26,4,1972
110,171,40,2024-04-22,1,861
111,102,77,2024-01-04,1,104
112,53,39,2024-03-11,2,2252
113,196,33,2024-06-16,3,2505
